epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,568.752,0.85003,0.49859,0.92051,0.81,0.8,0.77418,0.61,0.81191,0.48736,0.92147,0.00144145,0.00144145,0.00144145
43,581.828,0.85613,0.51063,0.91912,0.88317,0.76627,0.82505,0.63611,0.80793,0.48358,0.91854,0.00143595,0.00143595,0.00143595
44,594.876,0.84613,0.48958,0.91325,0.84792,0.73942,0.79344,0.57937,0.80375,0.48673,0.91595,0.00143045,0.00143045,0.00143045
45,607.961,0.84077,0.4884,0.91153,0.92361,0.77275,0.82376,0.63399,0.80637,0.47283,0.91325,0.00142495,0.00142495,0.00142495
46,621.007,0.83312,0.48847,0.90757,0.88669,0.79868,0.86435,0.66978,0.80763,0.48752,0.91699,0.00141945,0.00141945,0.00141945
47,634.121,0.84154,0.49379,0.91358,0.89549,0.69299,0.80697,0.62816,0.78383,0.47039,0.90737,0.00141395,0.00141395,0.00141395
48,647.18,0.83915,0.48215,0.91295,0.79368,0.80952,0.86118,0.67934,0.78215,0.46777,0.91202,0.00140845,0.00140845,0.00140845
49,660.213,0.83757,0.48157,0.90944,0.84842,0.81409,0.83881,0.64756,0.80229,0.46359,0.91529,0.00140295,0.00140295,0.00140295
50,673.313,0.82867,0.48061,0.9104,0.91471,0.71964,0.81004,0.6435,0.77745,0.45309,0.91476,0.00139745,0.00139745,0.00139745
51,686.4,0.82319,0.47881,0.90642,0.92023,0.72407,0.83611,0.66463,0.78685,0.4768,0.9099,0.00139195,0.00139195,0.00139195
52,699.558,0.81869,0.47475,0.90855,0.92076,0.81672,0.86439,0.69802,0.78923,0.46977,0.91193,0.00138644,0.00138644,0.00138644
53,712.982,0.83718,0.48369,0.90971,0.79494,0.82914,0.82241,0.64338,0.79868,0.46368,0.90834,0.00138094,0.00138094,0.00138094
54,726.104,0.8221,0.47935,0.90561,0.87418,0.77844,0.85124,0.67887,0.77496,0.46776,0.91107,0.00137544,0.00137544,0.00137544
55,739.174,0.82004,0.46514,0.90436,0.85973,0.7948,0.8272,0.65188,0.78305,0.46002,0.91178,0.00136994,0.00136994,0.00136994
56,752.239,0.81931,0.47905,0.90464,0.86154,0.73466,0.81874,0.65217,0.77145,0.45956,0.90857,0.00136444,0.00136444,0.00136444
57,765.284,0.81819,0.48086,0.90647,0.95093,0.79131,0.85706,0.68719,0.77568,0.4571,0.90977,0.00135894,0.00135894,0.00135894
58,778.377,0.81327,0.46865,0.90612,0.8509,0.76892,0.86446,0.70912,0.77746,0.4585,0.90758,0.00135344,0.00135344,0.00135344
59,791.855,0.80339,0.4753,0.90327,0.71642,0.80615,0.76984,0.63539,0.78688,0.46199,0.91073,0.00134794,0.00134794,0.00134794
60,804.897,0.82348,0.476,0.90582,0.92568,0.80296,0.89206,0.69854,0.77275,0.46391,0.90772,0.00134244,0.00134244,0.00134244
61,817.965,0.82165,0.47403,0.90652,0.8503,0.81862,0.86008,0.66483,0.79434,0.46285,0.91239,0.00133693,0.00133693,0.00133693
62,831.057,0.81477,0.45974,0.90123,0.89342,0.8086,0.88016,0.70183,0.77263,0.45996,0.90312,0.00133143,0.00133143,0.00133143
63,844.249,0.7956,0.44962,0.89474,0.85938,0.79524,0.84536,0.69137,0.76802,0.4553,0.90287,0.00132593,0.00132593,0.00132593
64,857.314,0.80738,0.46877,0.90173,0.80799,0.77898,0.85974,0.6909,0.77907,0.46769,0.90746,0.00132043,0.00132043,0.00132043
65,870.324,0.80339,0.46544,0.9047,0.89617,0.81862,0.8527,0.67384,0.76917,0.45122,0.90793,0.00131493,0.00131493,0.00131493
66,883.394,0.79872,0.46887,0.90228,0.87915,0.77734,0.86058,0.68083,0.76556,0.45254,0.90312,0.00130943,0.00130943,0.00130943
