epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,879.681,0.84572,0.47738,0.90913,0.7361,0.73605,0.79803,0.62867,0.80195,0.47336,0.90917,0.00144145,0.00144145,0.00144145
43,900.022,0.85181,0.48115,0.91016,0.91932,0.76771,0.83584,0.64655,0.79545,0.4722,0.90321,0.00143595,0.00143595,0.00143595
44,920.468,0.84476,0.48213,0.91023,0.92046,0.74263,0.83053,0.67627,0.78907,0.46316,0.90408,0.00143045,0.00143045,0.00143045
45,941.137,0.84013,0.47997,0.91151,0.82521,0.73597,0.82449,0.65508,0.78925,0.46819,0.90768,0.00142495,0.00142495,0.00142495
46,961.48,0.83763,0.47594,0.90917,0.8771,0.77561,0.82961,0.64717,0.78621,0.46556,0.90844,0.00141945,0.00141945,0.00141945
47,981.858,0.83725,0.47891,0.90793,0.91499,0.75085,0.83057,0.66518,0.77623,0.46374,0.90121,0.00141395,0.00141395,0.00141395
48,1002.23,0.84521,0.47361,0.90716,0.86391,0.78098,0.83752,0.66533,0.78237,0.47155,0.90657,0.00140845,0.00140845,0.00140845
49,1022.57,0.83199,0.47299,0.90444,0.85305,0.76752,0.83498,0.65586,0.78954,0.46796,0.90997,0.00140295,0.00140295,0.00140295
50,1042.94,0.8312,0.46866,0.90528,0.86838,0.81165,0.86174,0.68481,0.77511,0.45447,0.90094,0.00139745,0.00139745,0.00139745
51,1063.62,0.82717,0.46662,0.90307,0.87546,0.76617,0.81796,0.66371,0.78766,0.46245,0.90094,0.00139195,0.00139195,0.00139195
52,1083.94,0.82458,0.47756,0.90223,0.96004,0.74912,0.82873,0.6535,0.77583,0.46301,0.90284,0.00138644,0.00138644,0.00138644
53,1104.41,0.82989,0.4631,0.90303,0.91985,0.71393,0.79922,0.65194,0.77135,0.46519,0.90286,0.00138094,0.00138094,0.00138094
54,1124.76,0.82425,0.46664,0.90081,0.91747,0.70993,0.82798,0.67198,0.77103,0.45516,0.90121,0.00137544,0.00137544,0.00137544
55,1145.11,0.82655,0.47286,0.90487,0.9632,0.75271,0.84577,0.66701,0.7703,0.45445,0.89939,0.00136994,0.00136994,0.00136994
56,1165.45,0.82463,0.46051,0.9017,0.9044,0.78959,0.85491,0.67509,0.7723,0.45375,0.9037,0.00136444,0.00136444,0.00136444
57,1185.75,0.8246,0.46101,0.90299,0.91068,0.79167,0.81584,0.63899,0.78371,0.44677,0.90514,0.00135894,0.00135894,0.00135894
58,1206,0.81926,0.45911,0.89727,0.86317,0.77941,0.8336,0.64982,0.77107,0.45281,0.90174,0.00135344,0.00135344,0.00135344
59,1226.31,0.82115,0.4629,0.89763,0.85717,0.82037,0.83141,0.67517,0.77009,0.4523,0.90521,0.00134794,0.00134794,0.00134794
60,1246.67,0.81455,0.4595,0.89773,0.88227,0.78169,0.85772,0.68272,0.77568,0.45087,0.90008,0.00134244,0.00134244,0.00134244
61,1266.94,0.81405,0.46325,0.90166,0.93681,0.74857,0.82049,0.65826,0.77476,0.44615,0.90321,0.00133693,0.00133693,0.00133693
62,1287.35,0.81293,0.45801,0.89997,0.89145,0.77541,0.82483,0.66515,0.77445,0.45586,0.90084,0.00133143,0.00133143,0.00133143
63,1307.73,0.81018,0.4511,0.89686,0.91559,0.73323,0.82118,0.66603,0.75932,0.44242,0.89573,0.00132593,0.00132593,0.00132593
64,1328.1,0.80719,0.45111,0.89736,0.7959,0.74402,0.80656,0.65737,0.7629,0.44444,0.89839,0.00132043,0.00132043,0.00132043
65,1348.44,0.80085,0.44856,0.89668,0.83254,0.72567,0.80011,0.64216,0.77069,0.44866,0.9014,0.00131493,0.00131493,0.00131493
66,1368.79,0.80371,0.45312,0.89578,0.90741,0.76915,0.83477,0.65929,0.75585,0.44191,0.89606,0.00130943,0.00130943,0.00130943
67,1389.16,0.79881,0.44697,0.89298,0.84001,0.79072,0.83133,0.65477,0.7478,0.43986,0.89541,0.00130393,0.00130393,0.00130393
68,1409.53,0.81131,0.4571,0.89966,0.90142,0.77068,0.8431,0.67727,0.75041,0.44538,0.8988,0.00129843,0.00129843,0.00129843
69,1429.85,0.808,0.44567,0.89402,0.83858,0.79801,0.84095,0.67897,0.75516,0.44028,0.89906,0.00129293,0.00129293,0.00129293
70,1450.16,0.79947,0.44578,0.89445,0.82733,0.78499,0.84075,0.68873,0.7642,0.44168,0.89597,0.00128742,0.00128742,0.00128742
71,1470.82,0.79391,0.4566,0.89639,0.90215,0.76253,0.83715,0.68661,0.74981,0.4383,0.89216,0.00128192,0.00128192,0.00128192
72,1491.22,0.79284,0.4417,0.88985,0.89672,0.76501,0.8322,0.66842,0.76557,0.44647,0.89671,0.00127642,0.00127642,0.00127642
73,1511.49,0.78719,0.44701,0.89265,0.89403,0.78069,0.83939,0.68388,0.75201,0.44025,0.89375,0.00127092,0.00127092,0.00127092
74,1531.88,0.78569,0.43838,0.88675,0.94298,0.75851,0.83549,0.68626,0.75256,0.43502,0.89526,0.00126542,0.00126542,0.00126542
75,1552.21,0.78233,0.43516,0.88693,0.89848,0.76681,0.83669,0.67449,0.7493,0.436,0.89211,0.00125992,0.00125992,0.00125992
76,1572.56,0.79098,0.43794,0.89018,0.95189,0.7596,0.84751,0.67892,0.7512,0.44069,0.89442,0.00125442,0.00125442,0.00125442
77,1592.88,0.78346,0.43992,0.88718,0.95511,0.75638,0.84603,0.67109,0.76092,0.44179,0.89508,0.00124892,0.00124892,0.00124892
78,1613.25,0.78561,0.43983,0.88892,0.94326,0.74684,0.85031,0.69116,0.74377,0.43273,0.88867,0.00124342,0.00124342,0.00124342
79,1633.87,0.78894,0.43595,0.89324,0.94378,0.74218,0.84168,0.68102,0.74249,0.4363,0.89049,0.00123791,0.00123791,0.00123791
80,1654.32,0.78503,0.44245,0.89018,0.90427,0.80156,0.85346,0.6918,0.74986,0.4357,0.89552,0.00123241,0.00123241,0.00123241
